"region","drivmedel","månad","Antal"
"Riket","bensin","2006M01",13617
"Riket","bensin","2006M02",14687
"Riket","bensin","2006M03",19609
"Riket","bensin","2006M04",21439
"Riket","bensin","2006M05",24117
"Riket","bensin","2006M06",23148
"Riket","bensin","2006M07",15593
"Riket","bensin","2006M08",17504
"Riket","bensin","2006M09",19129
"Riket","bensin","2006M10",18271
"Riket","bensin","2006M11",17054
"Riket","bensin","2006M12",15834
"Riket","bensin","2007M01",13521
"Riket","bensin","2007M02",13479
"Riket","bensin","2007M03",19340
"Riket","bensin","2007M04",19362
"Riket","bensin","2007M05",20085
"Riket","bensin","2007M06",17837
"Riket","bensin","2007M07",13520
"Riket","bensin","2007M08",14772
"Riket","bensin","2007M09",14276
"Riket","bensin","2007M10",15476
"Riket","bensin","2007M11",12810
"Riket","bensin","2007M12",9823
"Riket","bensin","2008M01",8977
"Riket","bensin","2008M02",9634
"Riket","bensin","2008M03",11105
"Riket","bensin","2008M04",13284
"Riket","bensin","2008M05",12672
"Riket","bensin","2008M06",10656
"Riket","bensin","2008M07",8504
"Riket","bensin","2008M08",8558
"Riket","bensin","2008M09",9584
"Riket","bensin","2008M10",8668
"Riket","bensin","2008M11",6736
"Riket","bensin","2008M12",6137
"Riket","bensin","2009M01",4872
"Riket","bensin","2009M02",6244
"Riket","bensin","2009M03",7636
"Riket","bensin","2009M04",7931
"Riket","bensin","2009M05",7646
"Riket","bensin","2009M06",9334
"Riket","bensin","2009M07",6459
"Riket","bensin","2009M08",6218
"Riket","bensin","2009M09",7703
"Riket","bensin","2009M10",8674
"Riket","bensin","2009M11",8235
"Riket","bensin","2009M12",6974
"Riket","bensin","2010M01",5876
"Riket","bensin","2010M02",6012
"Riket","bensin","2010M03",10201
"Riket","bensin","2010M04",10457
"Riket","bensin","2010M05",10489
"Riket","bensin","2010M06",11517
"Riket","bensin","2010M07",8342
"Riket","bensin","2010M08",9017
"Riket","bensin","2010M09",9704
"Riket","bensin","2010M10",8973
"Riket","bensin","2010M11",8888
"Riket","bensin","2010M12",8752
"Riket","bensin","2011M01",6835
"Riket","bensin","2011M02",7128
"Riket","bensin","2011M03",10963
"Riket","bensin","2011M04",10748
"Riket","bensin","2011M05",11277
